"date","share","like","emo","comment","brand"
"2011-12-20",12,88,0,5,"A"
"2011-12-20",1,49,0,1,"A"
"2011-12-19",0,1,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,1,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,4,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,4,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,4,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,1,0,0,"A"
"2011-12-19",0,6,0,0,"A"
"2011-12-19",0,1,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",3,19,0,0,"A"
"2011-12-19",0,2,0,1,"A"
"2011-12-19",0,5,0,0,"A"
"2011-12-19",0,7,0,0,"A"
"2011-12-19",0,1,0,0,"A"
"2011-12-19",0,5,0,0,"A"
"2011-12-19",0,6,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,8,0,0,"A"
"2011-12-19",0,3,0,0,"A"
"2011-12-19",0,2,0,0,"A"
"2011-12-19",0,4,0,3,"A"
"2011-12-19",1,25,0,0,"A"
"2011-12-19",0,4,0,0,"A"
"2011-12-19",0,4,0,0,"A"
