0	1	6715.41182683	13164.74481487	7946.64813748
1	2	6715.33160709	13164.66459513	7946.56791774
2	3	6715.82617090	13165.15915894	7947.06248155
3	4	6715.60930885	13164.94229689	7946.84561950
