"post","date","share","like","emo","comment","brand"
1098,"2015-10-23",55,818,0,8,"P"
1099,"2015-10-22",42,585,0,12,"P"
1100,"2015-10-19",30,580,0,6,"P"
1101,"2015-10-18",29,528,0,6,"P"
1103,"2015-10-13",23,492,1,17,"P"
1105,"2015-10-09",26,495,0,11,"P"
1107,"2015-10-07",8,349,0,8,"P"
1108,"2015-10-06",19,472,0,16,"P"
1109,"2015-10-05",16,141,0,4,"P"
1110,"2015-10-03",41,463,0,7,"P"
1111,"2015-10-01",64,223,0,4,"P"
1113,"2015-09-29",124,1079,21,59,"P"
1114,"2015-09-27",78,960,17,53,"P"
1115,"2015-09-26",15,463,0,14,"P"
1117,"2015-09-25",208,1396,14,73,"P"
1118,"2015-09-24",30,252,0,8,"P"
1119,"2015-09-23",18,421,0,9,"P"
1120,"2015-09-22",16,262,0,15,"P"
1121,"2015-09-21",24,259,0,13,"P"
1122,"2015-09-20",66,968,1,23,"P"
1124,"2015-09-19",65,1503,0,15,"P"
1125,"2015-09-16",6,49,0,5,"P"
1127,"2015-09-14",951,3057,6,88,"P"
1132,"2015-09-07",25,509,0,10,"P"
1133,"2015-09-06",150,2353,2,54,"P"
1134,"2015-09-05",24,317,0,6,"P"
1136,"2015-09-03",58,272,0,10,"P"
1139,"2015-08-31",38,4125,7,19,"P"
1142,"2015-08-27",24,297,1,14,"P"
1143,"2015-08-27",88,614,0,15,"P"
1144,"2015-08-26",88,1159,2,15,"P"
1146,"2015-08-23",183,2638,0,39,"P"
1150,"2015-08-14",44,1084,0,31,"P"
1151,"2015-08-12",52,343,0,20,"P"
1152,"2015-08-12",17,647,0,9,"P"
1154,"2015-08-10",82,1179,0,26,"P"
1158,"2015-07-30",53,1029,1,18,"P"
1159,"2015-07-29",60,1069,0,25,"P"
1161,"2015-07-26",32,1174,0,19,"P"
1164,"2015-07-24",46,1014,0,7,"P"
1165,"2015-07-24",5,112,0,1,"P"
1167,"2015-07-19",34,1067,0,11,"P"
1168,"2015-07-16",48,2720,0,38,"P"
1169,"2015-07-16",25,287,0,9,"P"
1171,"2015-07-14",53,1292,0,17,"P"
1172,"2015-07-14",48,1278,0,17,"P"
1173,"2015-07-14",16,806,1,15,"P"
1177,"2015-07-09",89,2664,0,36,"P"
1178,"2015-07-08",73,1047,5,18,"P"
1180,"2015-07-05",34,1515,0,25,"P"
1182,"2015-07-01",57,2042,2,34,"P"
1183,"2015-06-30",28,742,0,18,"P"
1184,"2015-06-28",22,801,0,23,"P"
1185,"2015-06-26",15,265,0,16,"P"
1186,"2015-06-26",83,2278,1,26,"P"
1187,"2015-06-25",49,379,0,11,"P"
1189,"2015-06-21",27,832,0,24,"P"
1191,"2015-06-18",24,1037,0,19,"P"
1192,"2015-06-15",7,636,0,5,"P"
1193,"2015-06-14",16,810,0,14,"P"
1194,"2015-06-13",14,602,0,5,"P"
1195,"2015-06-11",108,3219,1,48,"P"
1196,"2015-06-09",20,948,1,7,"P"
1197,"2015-06-07",127,3915,1,41,"P"
1199,"2015-06-03",148,4082,2,43,"P"
1201,"2016-12-13",34,1087,61,23,"U"
1202,"2016-12-12",19,414,26,14,"U"
1203,"2016-12-08",0,200,6,12,"U"
1206,"2016-12-05",203,2355,149,57,"U"
1211,"2016-11-28",36,565,21,21,"U"
1212,"2016-11-25",27,394,15,18,"U"
1213,"2016-11-25",0,1011,55,17,"U"
1216,"2016-11-20",60,651,28,14,"U"
1217,"2016-11-16",0,353,27,8,"U"
1218,"2016-11-11",71,1162,45,6,"U"
1219,"2016-11-11",55,317,12,3,"U"
1224,"2016-11-07",0,644,32,12,"U"
1225,"2016-11-07",36,1177,52,9,"U"
1227,"2016-11-05",58,1041,38,37,"U"
1228,"2016-11-05",52,504,10,9,"U"
1230,"2016-11-03",50,752,28,17,"U"
1232,"2016-10-29",0,531,24,5,"U"
1233,"2016-10-28",0,428,34,5,"U"
1234,"2016-10-27",0,531,36,22,"U"
1236,"2016-10-25",73,920,42,16,"U"
1237,"2016-10-24",713,1203,128,177,"U"
1239,"2016-10-22",0,217,4,9,"U"
1242,"2016-10-12",66,849,45,21,"U"
1243,"2016-10-09",23,700,18,11,"U"
1244,"2016-10-07",6,559,20,11,"U"
1245,"2016-10-07",18,599,23,15,"U"
1248,"2016-10-03",10,482,21,8,"U"
1249,"2016-10-01",17,658,27,10,"U"
1250,"2016-09-30",46,998,56,56,"U"
1251,"2016-09-28",49,994,35,16,"U"
1252,"2016-09-27",10,283,7,4,"U"
1253,"2016-09-27",41,531,18,11,"U"
1255,"2016-09-25",58,1014,85,67,"U"
1257,"2016-09-22",70,716,28,13,"U"
1260,"2016-09-18",10,417,7,12,"U"
1262,"2016-09-17",65,2793,67,24,"U"
1264,"2016-09-16",7,446,18,4,"U"
1265,"2016-09-16",8,477,10,12,"U"
1267,"2016-09-15",9,365,5,11,"U"
1271,"2016-09-13",13,686,27,17,"U"
1273,"2016-09-13",12,694,18,23,"U"
1275,"2016-09-10",12,618,22,11,"U"
1276,"2016-09-10",40,938,32,12,"U"
1279,"2016-09-08",93,456,20,11,"U"
1282,"2016-09-04",57,706,39,19,"U"
1284,"2016-09-02",81,826,41,14,"U"
1285,"2016-09-01",85,1662,69,32,"U"
1286,"2016-08-31",61,364,17,16,"U"
1288,"2016-08-27",77,1446,75,39,"U"
1291,"2016-08-24",8,543,30,75,"U"
1292,"2016-08-23",31,674,27,79,"U"
1293,"2016-08-23",151,1684,99,73,"U"
1294,"2016-08-22",50,875,51,68,"U"
1297,"2016-08-22",629,3273,252,116,"U"
1298,"2016-08-21",225,3643,221,217,"U"
1299,"2016-08-20",18,698,28,224,"U"
1300,"2016-08-16",19,408,46,284,"U"
1302,"2016-08-15",18,680,32,88,"U"
1303,"2016-08-15",17,440,17,63,"U"
1304,"2016-08-15",4,372,19,36,"U"
1305,"2016-08-14",12,531,32,35,"U"
1306,"2016-08-14",1,323,16,19,"U"
1311,"2016-08-14",80,2909,121,25,"U"
1312,"2016-08-13",18,621,21,14,"U"
1313,"2016-08-12",21,872,36,14,"U"
1314,"2016-08-12",16,525,19,3,"U"
1316,"2016-08-11",117,1059,48,10,"U"
1317,"2016-08-11",98,2089,81,50,"U"
1318,"2016-08-11",126,2658,144,13,"U"
1320,"2016-08-10",167,2306,159,21,"U"
1321,"2016-08-05",34,469,19,13,"U"
1322,"2016-07-26",26,336,17,10,"U"
1329,"2016-07-09",20,159,6,1,"U"
1330,"2016-07-09",27,273,18,4,"U"
1331,"2016-07-09",34,133,9,4,"U"
1332,"2016-07-07",32,140,8,6,"U"
1333,"2016-07-05",70,400,16,11,"U"
1334,"2016-07-01",32,301,15,12,"U"
1336,"2016-06-28",84,503,22,10,"U"
1337,"2016-06-26",37,236,6,8,"U"
1339,"2016-06-25",22,196,6,3,"U"
1341,"2016-06-23",13,306,6,2,"U"
1342,"2016-06-23",224,5862,193,171,"U"
1343,"2016-06-22",23,493,13,8,"U"
1344,"2016-06-13",36,678,9,12,"U"
1347,"2016-06-04",2302,2863,200,43,"U"
1348,"2016-06-04",10,230,29,0,"U"
1349,"2016-06-04",664,1613,9,124,"U"
1352,"2016-05-31",138,1071,53,9,"U"
1353,"2016-05-29",0,531,15,3,"U"
1354,"2016-05-24",156,589,25,41,"U"
1355,"2016-05-23",24,423,15,6,"U"
1359,"2016-05-10",113,875,35,10,"U"
1362,"2016-04-28",10,325,6,8,"U"
1364,"2016-04-22",30,384,5,11,"U"
1367,"2016-04-14",0,648,31,9,"U"
1368,"2016-04-14",26,497,19,9,"U"
1369,"2016-04-14",0,2056,106,49,"U"
1370,"2016-04-11",14,345,7,7,"U"
1371,"2016-04-11",82,1161,42,15,"U"
1372,"2016-04-09",21,314,5,5,"U"
1373,"2016-04-05",36,280,11,13,"U"
1374,"2016-04-04",34,493,15,3,"U"
1375,"2016-04-04",32,632,23,49,"U"
1376,"2016-03-29",63,897,33,41,"U"
1377,"2016-03-26",69,867,36,16,"U"
1378,"2016-03-25",34,400,13,19,"U"
1379,"2016-03-25",87,1102,42,6,"U"
1380,"2016-03-24",43,346,14,8,"U"
1381,"2016-03-22",26,177,2,7,"U"
1382,"2016-03-21",30,180,4,6,"U"
1384,"2016-03-18",104,382,12,5,"U"
1385,"2016-03-17",329,946,60,46,"U"
1388,"2016-03-14",0,382,15,9,"U"
1389,"2016-03-14",12,236,11,4,"U"
1393,"2016-03-10",77,308,7,3,"U"
1394,"2016-03-10",20,346,7,4,"U"
1395,"2016-03-09",31,335,14,10,"U"
1396,"2016-03-09",19,272,6,9,"U"
1397,"2016-03-09",4304,16794,473,315,"U"
1401,"2016-03-06",4,259,9,5,"U"
1402,"2016-03-03",18,173,3,2,"U"
1406,"2016-03-01",8,218,5,2,"U"
1408,"2016-02-29",9,335,7,2,"U"
1409,"2016-02-28",6,418,10,2,"U"
1410,"2016-02-28",54,1095,14,93,"U"
1413,"2016-02-27",13,211,3,2,"U"
1414,"2016-02-27",28,344,21,6,"U"
1415,"2016-02-27",11,195,7,1,"U"
1416,"2016-02-26",140,2368,74,126,"U"
1419,"2016-02-25",4,69,4,0,"U"
1420,"2016-02-25",27,167,6,4,"U"
1421,"2016-02-25",148,2158,59,66,"U"
1429,"2016-02-23",33764,106349,6174,2955,"U"
1430,"2016-02-18",94,481,9,136,"U"
1431,"2016-02-17",58,590,10,85,"U"
1432,"2016-02-17",136,2017,26,73,"U"
1433,"2016-02-16",27,195,2,17,"U"
1435,"2016-02-14",25,475,3,14,"U"
1436,"2016-02-14",86,323,0,12,"U"
1437,"2016-02-13",15,200,0,9,"U"
1438,"2016-02-13",12,157,0,3,"U"
1439,"2016-02-13",32,378,3,16,"U"
1441,"2016-02-12",48,294,1,8,"U"
1442,"2016-02-12",13,136,4,3,"U"
1443,"2016-02-12",63,677,14,21,"U"
1445,"2016-02-10",19,246,0,9,"U"
1448,"2016-02-08",5,192,1,3,"U"
1449,"2016-02-08",25,1006,8,13,"U"
1453,"2016-02-07",23,256,2,1,"U"
1455,"2016-02-07",11485,27680,4,846,"U"
1456,"2016-02-07",67,411,4,10,"U"
1458,"2016-02-07",79,641,10,23,"U"
1459,"2016-02-06",21,169,0,4,"U"
1460,"2016-02-06",43,118,0,2,"U"
1461,"2016-02-06",35,265,0,6,"U"
1462,"2016-02-05",30,109,1,5,"U"
1464,"2016-02-05",16,491,0,4,"U"
1465,"2016-02-05",276,1318,6,36,"U"
1466,"2016-02-04",6,255,1,4,"U"
1467,"2016-02-04",1796,5310,0,180,"U"
1469,"2016-02-02",16,242,0,5,"U"
1470,"2016-02-01",5,110,0,1,"U"
1471,"2016-01-30",47,237,2,12,"U"
1472,"2016-01-29",30,211,0,6,"U"
1473,"2016-01-28",286,1212,1,39,"U"
1478,"2016-01-23",7,575,1,1,"U"
1479,"2016-01-19",24,416,0,4,"U"
1480,"2016-01-16",21,228,0,4,"U"
1485,"2016-01-05",181,421,2,54,"U"
1487,"2015-12-31",19,361,1,4,"U"
1488,"2015-12-21",158,568,3,29,"U"
1489,"2015-12-20",8,271,0,2,"U"
1493,"2015-12-12",49,353,0,13,"U"
1494,"2015-12-12",126,841,2,45,"U"
1496,"2015-12-07",84,938,1,8,"U"
1497,"2015-12-05",10,201,0,3,"U"
1499,"2015-11-29",12,174,0,11,"U"
1500,"2015-11-28",8,195,0,1,"U"
1502,"2015-11-27",4,108,0,8,"U"
1505,"2015-11-23",51,254,0,8,"U"
1507,"2015-11-20",0,532,2,30,"U"
1508,"2015-11-19",75,313,2,5,"U"
1510,"2015-11-11",0,400,0,7,"U"
1514,"2015-11-03",4124,1693,10,52,"U"
1515,"2015-11-02",25,247,0,3,"U"
1516,"2015-10-30",59,332,0,9,"U"
1517,"2015-10-30",26,250,2,6,"U"
1518,"2015-10-27",0,715,2,26,"U"
1519,"2015-10-26",3792,1529,8,28,"U"
1520,"2015-10-24",0,768,1,17,"U"
1521,"2015-10-21",5,231,0,2,"U"
1522,"2015-10-21",0,861,1,18,"U"
1523,"2015-10-20",188,625,1,51,"U"
1524,"2015-10-20",34,1110,2,15,"U"
1525,"2015-10-19",23,238,0,5,"U"
1527,"2015-10-16",20,291,0,3,"U"
1528,"2015-10-14",7,247,0,2,"U"
1529,"2015-10-12",7,192,2,3,"U"
1530,"2015-10-12",13,261,0,4,"U"
1532,"2015-10-08",3,83,0,0,"U"
1534,"2015-10-06",4,190,0,4,"U"
1535,"2015-10-02",16,441,0,6,"U"
1537,"2015-10-01",2,148,0,0,"U"
1538,"2015-09-30",116,393,1,4,"U"
1539,"2015-09-29",191,1217,2,10,"U"
1541,"2015-09-28",49,302,1,4,"U"
1542,"2015-09-27",57,472,0,9,"U"
1544,"2015-09-21",48,350,0,2,"U"
1545,"2015-09-18",0,224,0,1,"U"
1547,"2015-09-13",80,643,1,20,"U"
1548,"2015-09-11",1840,2088,4,269,"U"
1550,"2015-09-08",35,324,0,3,"U"
1551,"2015-09-08",12,422,0,6,"U"
1556,"2015-09-06",11,1036,2,11,"U"
1557,"2015-09-06",42,779,1,16,"U"
1558,"2015-09-06",30,640,1,2,"U"
1559,"2015-09-05",96,769,2,9,"U"
1561,"2015-09-05",52,779,1,11,"U"
1562,"2015-09-05",79,676,0,5,"U"
1564,"2015-09-03",22,453,0,5,"U"
1566,"2015-09-02",242,1862,4,54,"U"
1567,"2015-09-02",117,406,0,6,"U"
1568,"2015-09-02",20,392,0,3,"U"
1569,"2015-09-01",212,940,1,15,"U"
1570,"2015-09-01",20,337,2,7,"U"
1571,"2015-08-26",24,507,1,0,"U"
1572,"2015-08-25",31,498,0,4,"U"
1575,"2015-08-24",2889,17451,5,274,"U"
1576,"2015-08-22",39,518,1,14,"U"
1578,"2015-08-19",30,682,1,19,"U"
1581,"2015-08-17",12,270,0,10,"U"
1584,"2015-08-16",10,292,0,2,"U"
1585,"2015-08-16",33,541,0,11,"U"
1586,"2015-08-13",339,40,0,5,"U"
1587,"2015-08-12",55,915,1,13,"U"
1589,"2015-08-11",16,298,0,0,"U"
1590,"2015-08-11",15,128,0,3,"U"
1591,"2015-08-09",20,326,0,4,"U"
1592,"2015-08-07",41,818,1,14,"U"
1593,"2015-08-07",16,676,0,1,"U"
1594,"2015-08-05",8,409,0,3,"U"
1598,"2015-07-31",0,266,0,2,"U"
