"date","share","like","emo","comment","brand"
"2014-04-16",4,49,0,3,"N"
"2014-04-16",44,75,0,1,"N"
"2014-04-11",27,41,0,2,"N"
"2014-04-10",229,2939,0,74,"N"
"2014-04-09",14,454,0,9,"N"
"2014-04-04",102,259,0,10,"N"
"2014-04-03",134,1595,0,34,"N"
"2014-04-01",65,141,0,0,"N"
"2014-03-31",61,289,0,17,"N"
"2014-03-27",146,2611,0,40,"N"
"2014-03-26",170,417,0,83,"N"
"2014-03-25",116,1546,0,28,"N"
"2014-03-24",46,947,0,26,"N"
"2014-03-23",100,1769,0,31,"N"
"2014-03-22",41,1043,0,13,"N"
"2014-03-22",54,1524,0,15,"N"
"2014-03-21",133,1970,0,30,"N"
"2014-03-20",129,1893,0,27,"N"
"2014-03-19",16,420,0,7,"N"
"2014-03-18",80,1725,0,17,"N"
"2014-03-17",497,1146,0,56,"N"
"2014-03-14",53,1070,0,17,"N"
"2014-03-13",67,109,0,4,"N"
"2014-03-11",148,2147,0,32,"N"
"2014-03-10",136,1919,0,39,"N"
"2014-03-08",55,881,0,15,"N"
"2014-03-05",49,1523,1,18,"N"
"2014-03-03",89,1766,1,24,"N"
"2014-02-24",67,1009,0,21,"N"
"2014-02-21",54,77,0,3,"N"
"2014-02-18",43,967,0,33,"N"
"2014-02-17",115,1136,0,17,"N"
"2014-02-14",78,1291,0,23,"N"
"2014-02-13",59,1340,0,27,"N"
"2014-02-11",148,1959,0,32,"N"
"2014-02-05",78,595,1,31,"N"
"2014-02-03",212,2556,0,41,"N"
"2014-01-31",118,694,0,28,"N"
"2014-01-29",100,1425,0,27,"N"
"2014-01-28",116,1673,0,21,"N"
"2014-01-27",151,1050,0,22,"N"
"2014-01-22",111,721,0,36,"N"
"2014-01-21",165,2040,1,33,"N"
"2014-01-17",44,164,0,7,"N"
"2014-01-16",12,51,0,0,"N"
"2014-01-15",67,317,0,23,"N"
"2014-01-13",111,1291,0,20,"N"
"2014-01-12",61,1202,0,9,"N"
"2014-01-10",29,515,0,8,"N"
"2014-01-10",18,321,0,6,"N"
"2014-01-09",83,1282,1,25,"N"
"2014-01-04",18,82,0,3,"N"
"2014-01-03",121,157,0,0,"N"
"2014-01-02",132,547,0,15,"N"
"2013-12-27",121,2038,1,48,"N"
"2013-12-25",98,1286,0,21,"N"
"2013-12-23",71,1277,0,10,"N"
"2013-12-16",143,1334,1,31,"N"
"2013-12-13",11,59,0,0,"N"
"2013-12-12",30,108,0,6,"N"
"2013-12-10",14,57,0,0,"N"
"2013-12-09",261,2904,0,52,"N"
"2013-12-04",88,1167,0,10,"N"
"2013-12-03",144,1672,0,30,"N"
"2013-12-02",126,163,0,8,"N"
"2013-11-30",20,308,0,6,"N"
"2013-11-29",81,1388,0,12,"N"
"2013-11-26",88,1304,0,16,"N"
"2013-11-25",163,1675,0,30,"N"
"2013-11-24",100,1722,0,27,"N"
"2013-11-23",16,197,0,6,"N"
"2013-11-18",89,81,0,6,"N"
"2013-11-14",168,2257,0,42,"N"
"2013-11-13",67,1059,0,9,"N"
"2013-11-12",125,1535,0,30,"N"
"2013-11-11",147,2054,0,23,"N"
"2013-11-07",23,71,0,4,"N"
"2013-10-31",15,16,0,0,"N"
"2013-10-28",128,81,0,0,"N"
"2013-10-26",327,3390,1,55,"N"
"2013-10-25",125,69,0,1,"N"
"2013-10-24",144,2274,0,34,"N"
"2013-10-22",243,3404,1,49,"N"
"2013-10-21",5,12,0,0,"N"
"2013-10-17",30,471,0,7,"N"
"2013-10-16",292,3447,0,61,"N"
"2013-10-15",117,76,0,5,"N"
"2013-10-14",153,2450,0,47,"N"
"2013-10-12",232,3368,0,57,"N"
"2013-10-10",113,1350,0,25,"N"
"2013-10-08",115,78,0,4,"N"
"2013-10-07",142,114,0,2,"N"
"2013-10-03",111,37,0,0,"N"
"2013-10-02",216,202,2,12,"N"
"2013-09-30",115,119,0,15,"N"
"2013-09-28",294,233,0,6,"N"
"2013-09-26",137,263,0,21,"N"
"2013-09-25",145,68,0,3,"N"
"2013-09-24",164,59,0,0,"N"
"2013-09-23",176,39,0,1,"N"
"2013-09-21",24,39,0,2,"N"
"2013-09-20",149,184,0,13,"N"
"2013-09-19",4,99,0,0,"N"
"2013-09-19",234,103,0,1,"N"
"2013-09-18",207,92,0,4,"N"
"2013-09-17",409,460,0,24,"N"
"2013-09-15",15,23,0,0,"N"
"2013-09-13",175,339,1,35,"N"
"2013-09-13",213,305,2,32,"N"
"2013-09-11",273,162,0,6,"N"
"2013-09-10",40,116,0,2,"N"
"2013-09-08",17,505,0,3,"N"
"2013-09-06",166,334,0,31,"N"
"2013-09-05",264,164,0,4,"N"
"2013-08-30",27,60,0,0,"N"
"2013-08-29",39,44,0,0,"N"
"2013-08-29",117,175,0,13,"N"
"2013-08-28",270,576,0,25,"N"
"2013-08-26",284,1217,0,27,"N"
"2013-08-22",231,300,0,16,"N"
"2013-08-19",2408,2013,0,115,"N"
"2013-08-17",160,147,0,2,"N"
"2013-08-14",184,146,0,15,"N"
"2013-08-13",229,285,0,18,"N"
"2013-08-12",291,189,1,21,"N"
"2013-08-07",100,1737,0,16,"N"
"2013-07-24",138,2791,0,29,"N"
"2013-07-23",37,1489,1,11,"N"
"2013-07-20",128,291,0,9,"N"
"2013-07-18",91,1176,0,27,"N"
"2013-07-15",273,315,0,24,"N"
"2013-07-14",248,406,0,31,"N"
"2013-07-11",159,1790,0,36,"N"
"2013-07-09",269,505,1,35,"N"
"2013-07-08",183,188,0,12,"N"
"2013-07-03",307,376,0,19,"N"
"2013-06-30",324,409,0,30,"N"
"2013-06-26",239,138,0,4,"N"
"2013-06-25",394,353,0,28,"N"
"2013-06-24",153,188,0,14,"N"
"2013-06-22",319,192,0,17,"N"
"2013-06-22",91,1252,0,26,"N"
"2013-06-21",441,285,0,15,"N"
"2013-06-19",164,170,0,10,"N"
"2013-06-16",222,314,0,10,"N"
"2013-06-13",39,253,0,5,"N"
"2016-12-02",305,3584,185,219,"N"
"2016-12-01",4590,14103,1847,1166,"N"
"2016-11-16",217,2325,109,262,"N"
"2016-11-07",587,2777,114,233,"N"
