"date","share","like","emo","comment","brand"
"2016-05-19",15,313,5,8,"P"
"2016-05-18",704,1671,190,133,"P"
"2016-05-14",61,591,24,23,"P"
"2016-05-13",11,182,6,10,"P"
"2016-05-12",18,271,25,14,"P"
"2016-05-05",28,210,11,20,"P"
"2016-05-02",25,312,5,10,"P"
"2016-05-01",76,534,38,22,"P"
"2016-04-30",7,153,5,4,"P"
"2016-04-28",11,374,5,9,"P"
"2016-04-27",26,639,38,20,"P"
"2016-04-26",46,1010,17,14,"P"
"2016-04-25",59,541,29,18,"P"
"2016-04-24",42,455,18,19,"P"
"2016-04-23",39,446,32,21,"P"
"2016-04-22",53,514,37,29,"P"
"2016-04-21",270,749,84,107,"P"
"2016-04-21",19,200,4,2,"P"
"2016-04-20",16,364,14,10,"P"
"2016-04-20",182,314,14,7,"P"
"2016-04-19",32,415,30,12,"P"
"2016-04-16",35,342,9,12,"P"
"2016-04-15",8,120,3,2,"P"
"2016-04-13",17,111,1,6,"P"
"2016-04-13",23,215,8,4,"P"
"2016-04-11",682,1810,150,76,"P"
"2016-04-10",31,460,27,25,"P"
"2016-04-08",60,541,29,5,"P"
"2016-04-05",36,445,31,10,"P"
"2016-04-02",101,558,63,38,"P"
"2016-04-01",77,783,69,51,"P"
"2016-03-30",2059,8303,330,83,"P"
"2016-03-29",11,311,5,13,"P"
"2016-03-28",36,501,24,15,"P"
"2016-03-26",39,598,23,15,"P"
"2016-03-24",188,19961,397,82,"P"
"2016-03-23",2683,11321,555,202,"P"
"2016-03-23",10,166,5,3,"P"
"2016-03-22",13,188,2,2,"P"
"2016-03-20",25,315,13,14,"P"
"2016-03-19",15,279,10,5,"P"
"2016-03-17",62,419,18,20,"P"
"2016-03-17",42,242,8,10,"P"
"2016-03-14",39,350,8,5,"P"
"2016-03-13",58,795,51,38,"P"
"2016-03-12",63,285,10,11,"P"
"2016-03-11",7,235,6,6,"P"
"2016-03-10",18,199,7,6,"P"
"2016-03-08",11,228,4,13,"P"
"2016-03-05",46,457,14,16,"P"
"2016-03-04",11,264,5,5,"P"
"2016-03-03",134,999,75,28,"P"
"2016-03-03",774,3083,199,56,"P"
"2016-03-01",15,342,12,8,"P"
"2016-02-29",43,456,19,15,"P"
"2016-02-27",11,294,6,9,"P"
"2016-02-26",32,429,14,7,"P"
"2016-02-26",60,518,62,11,"P"
"2016-02-25",27,395,13,9,"P"
"2016-02-24",14,281,4,10,"P"
"2016-02-23",5,220,1,9,"P"
"2016-02-22",17,272,4,9,"P"
"2016-02-22",171,745,57,57,"P"
"2016-02-20",17,330,5,7,"P"
"2016-02-19",26,336,5,9,"P"
"2016-02-18",50,551,25,19,"P"
"2016-02-18",45,227,13,7,"P"
"2016-02-17",1071,13534,1,181,"P"
"2016-02-15",22,164,5,6,"P"
"2016-02-15",19,289,2,5,"P"
"2016-02-14",14,341,1,13,"P"
"2016-02-13",67,496,8,22,"P"
"2016-02-12",10,279,2,8,"P"
"2016-02-10",788,16109,68,129,"P"
"2016-02-10",10,207,0,4,"P"
"2016-02-10",20,270,0,2,"P"
"2016-02-08",41,920,0,16,"P"
"2016-02-04",46,328,7,21,"P"
"2016-02-03",33,295,1,13,"P"
"2016-02-02",11,218,2,6,"P"
"2016-02-01",11,411,0,10,"P"
"2016-01-30",24,285,0,7,"P"
"2016-01-29",22,349,1,10,"P"
"2016-01-28",31,336,0,16,"P"
"2016-01-26",22,244,2,13,"P"
"2016-01-25",27,542,5,11,"P"
"2016-01-24",16,220,0,6,"P"
"2016-01-20",69,712,3,14,"P"
"2016-01-18",14,252,1,5,"P"
"2016-01-17",20,279,0,8,"P"
"2016-01-15",74,213,2,14,"P"
"2016-01-14",15,359,1,8,"P"
"2016-01-14",23,130,1,7,"P"
"2016-01-13",126,354,0,5,"P"
"2016-01-11",37,154,0,7,"P"
"2016-01-10",21,291,3,16,"P"
"2016-01-08",8,345,0,14,"P"
"2016-01-08",23,421,1,9,"P"
"2016-01-06",36,301,3,11,"P"
"2016-01-04",23,236,1,8,"P"
"2016-01-02",29,167,0,13,"P"
"2015-12-29",81,766,6,19,"P"
"2015-12-26",52,320,1,12,"P"
"2015-12-25",40,449,0,15,"P"
"2015-12-22",26,487,2,17,"P"
"2015-12-16",126,483,0,18,"P"
"2015-12-13",26,331,0,14,"P"
"2015-12-10",52,489,1,17,"P"
"2015-12-05",42,650,1,21,"P"
"2015-12-03",60,485,2,20,"P"
"2015-12-02",29,561,0,18,"P"
"2015-11-30",51,225,0,12,"P"
"2015-11-30",17,899,1,9,"P"
"2015-11-30",59,506,8,21,"P"
"2015-11-27",38,289,0,12,"P"
"2015-11-25",49,432,4,7,"P"
"2015-11-24",18,178,1,5,"P"
"2015-11-23",0,126,1,9,"P"
"2015-11-23",13,203,0,6,"P"
"2015-11-22",21,233,6,7,"P"
"2015-11-21",29,306,6,9,"P"
"2015-11-20",47,501,7,14,"P"
"2015-11-19",84,390,4,24,"P"
"2015-11-14",51,631,2,26,"P"
"2015-11-12",28,626,1,16,"P"
"2015-11-12",44,594,0,21,"P"
"2015-11-09",56,308,0,21,"P"
"2015-11-08",25,174,0,10,"P"
"2015-11-07",60,878,6,22,"P"
"2015-11-06",29,416,1,10,"P"
"2015-11-05",1429,935,6,41,"P"
"2015-11-02",37,474,1,20,"P"
"2015-11-01",46,613,5,14,"P"
"2015-10-31",44,874,0,14,"P"
"2015-10-30",78,758,7,12,"P"
"2015-10-29",34,265,1,17,"P"
"2015-10-29",31,438,3,11,"P"
"2015-10-28",22,186,2,11,"P"
"2015-10-28",31,391,0,12,"P"
"2015-10-26",103,799,5,18,"P"
"2015-10-25",15,290,0,4,"P"
"2015-10-25",51,776,4,14,"P"
"2015-10-24",50,1329,1,21,"P"
"2015-10-23",55,818,0,8,"P"
"2015-10-22",42,585,0,12,"P"
"2015-10-19",30,580,0,6,"P"
"2015-10-18",29,528,0,6,"P"
"2015-10-17",28,606,0,10,"P"
"2015-10-13",23,492,1,17,"P"
"2015-10-10",56,597,0,10,"P"
"2015-10-09",26,495,0,11,"P"
"2015-10-08",19,521,0,13,"P"
"2015-10-07",8,349,0,8,"P"
"2015-10-06",19,472,0,16,"P"
